NAME                                VERSION            TYPE                      
fd-slicer                           1.1.0              npm                       
fdir                                6.5.0              npm                       
feature-policy                      0.5.0              npm                       
fecha                               4.2.3              npm                       
file-js                             0.3.0              npm                       
file-stream-rotator                 1.0.0              npm                       
file-type                           11.1.0             npm                       
file-type                           16.5.4             npm                       
file-type                           3.9.0              npm                       
file-type                           4.4.0              npm                       
file-type                           5.2.0              npm     (+1 duplicate)    
file-type                           6.2.0              npm                       
file-uri-to-path                    1.0.0              npm                       
filehound                           1.17.6             npm                       
filename-reserved-regex             2.0.0              npm                       
filenamify                          3.0.0              npm                       
filesniffer                         1.0.3              npm                       
fill-range                          4.0.0              npm                       
fill-range                          7.1.1              npm     (+2 duplicates)   
finale-rest                         1.2.2              npm                       
finalhandler                        1.3.1              npm                       
find-up                             4.1.0              npm                       
findup-sync                         2.0.0              npm                       
findup-sync                         4.0.0              npm                       
findup-sync                         5.0.0              npm                       
fined                               1.2.0              npm                       
flagged-respawn                     1.0.1              npm                       
fn.name                             1.1.0              npm                       
fontkit                             1.9.0              npm                       
for-each                            0.3.5              npm                       
for-in                              1.0.2              npm                       
for-own                             1.0.0              npm                       
foreachasync                        3.0.0              npm                       
foreground-child                    3.3.1              npm                       
formatio                            1.1.1              npm                       
forwarded                           0.2.0              npm                       
fragment-cache                      0.2.1              npm                       
fresh                               0.5.2              npm                       
from2                               2.3.0              npm                       
frontend                            19.0.0             npm                       
fs-constants                        1.0.0              npm                       
fs-extra                            9.1.0              npm                       
fs-minipass                         1.2.7              npm                       
fs-minipass                         2.1.0              npm                       
fs-minipass                         3.0.3              npm                       
fs.realpath                         1.0.0              npm                       
fstream                             1.0.12             npm                       
function-bind                       1.1.2              npm                       
functions-have-names                1.2.3              npm                       
fuzzball                            1.4.0              npm                       
gauge                               2.7.4              npm                       
gauge                               4.0.4              npm                       
gcc-12-base                         12.2.0-14+deb12u1  deb                       
geojson-utils                       1.1.0              npm                       
get-caller-file                     2.0.5              npm                       
get-intrinsic                       1.3.0              npm                       
get-proto                           1.0.1              npm                       
get-stream                          2.3.1              npm                       
get-stream                          3.0.0              npm     (+1 duplicate)    
get-stream                          4.1.0              npm                       
get-value                           2.0.6              npm                       
getobject                           1.0.2              npm                       
github-from-package                 0.0.0              npm                       
glob                                10.4.5             npm                       
glob                                7.1.7              npm                       
glob                                7.2.3              npm     (+6 duplicates)   
glob-parent                         5.1.2              npm                       
global-modules                      1.0.0              npm                       
global-prefix                       1.0.2              npm                       
gopd                                1.2.0              npm                       
got                                 8.3.2              npm                       
graceful-fs                         4.2.11             npm                       
grunt                               1.6.1              npm                       
grunt-cli                           1.4.3              npm                       
grunt-contrib-compress              1.6.0              npm                       
grunt-known-options                 2.0.0              npm                       
grunt-legacy-log                    3.0.0              npm                       
grunt-legacy-log-utils              2.1.0              npm                       
grunt-legacy-util                   2.0.1              npm                       
grunt-replace-json                  0.1.0              npm                       
handlebars                          4.7.7              npm                       
has-ansi                            2.0.0              npm                       
has-bigints                         1.1.0              npm                       
has-flag                            3.0.0              npm                       
has-flag                            4.0.0              npm                       
has-property-descriptors            1.0.2              npm                       
has-symbol-support-x                1.4.2              npm                       
has-symbols                         1.1.0              npm                       
has-to-string-tag-x                 1.4.1              npm                       
has-tostringtag                     1.0.2              npm                       
has-unicode                         2.0.1              npm                       
has-value                           0.3.1              npm                       
has-value                           1.0.0              npm                       
has-values                          0.1.4              npm                       
has-values                          1.0.0              npm                       
hashids                             2.3.0              npm                       
hashids-esm                         UNKNOWN            npm                       
hasown                              2.0.2              npm                       
hbs                                 4.2.0              npm                       
he                                  0.4.1              npm                       
heap                                0.2.7              npm                       
helmet                              4.6.0              npm                       
hoister                             0.0.2              npm                       
homedir-polyfill                    1.0.3              npm                       
hooker                              0.2.3              npm                       
html-entities                       1.4.0              npm                       
htmlparser2                         3.3.0              npm                       
http-cache-semantics                3.8.1              npm                       
http-cache-semantics                4.2.0              npm     (+1 duplicate)    
http-errors                         1.6.3              npm                       
http-errors                         2.0.0              npm                       
http-proxy-agent                    4.0.1              npm                       
http-proxy-agent                    5.0.0              npm                       
http-proxy-agent                    7.0.2              npm                       
https-proxy-agent                   5.0.1              npm                       
https-proxy-agent                   7.0.6              npm                       
humanize-ms                         1.2.1              npm                       
i18n                                0.11.1             npm                       
iconv-lite                          0.4.24             npm                       
iconv-lite                          0.6.3              npm     (+1 duplicate)    
ieee754                             1.2.1              npm                       
ignore-walk                         3.0.4              npm                       
iltorb                              2.4.5              npm                       
imurmurhash                         0.1.4              npm                       
